Seconds elapsed,Metres from animatedLocation to lastReceivedLocation
80.632,231.484027453532
80.649,231.484027453532
80.666,231.484027453532
80.682,231.484027453532
80.699,231.484027453532
80.716,231.484027453532
80.732,231.484027453532
80.749,231.484027453532
80.766,231.484027453532
80.783,231.484027453532
80.799,230.0609681465344
80.816,228.51977216872254
80.843,225.97627119215045
80.849,225.4001770740249
80.873,223.08247103590546
80.882,222.24671319324614
80.899,220.67656185832985
80.916,219.11383315464516
80.943,216.5597151580712
80.949,215.9832848614741
80.978,213.20530093847796
80.982,212.88363226585906
81.009,210.3278717068577
81.016,209.7127303634634
81.032,208.12385253254956
81.049,206.5639076603723
81.073,204.33939896133458
81.09,202.72759846838065
81.101,201.6915973786414
81.116,200.29568512409378
81.133,198.70664794423962
81.149,197.15514349206563
81.166,195.5883947272478
81.182,194.02575448771083
81.199,192.46419092715954
81.216,190.89927220667695
81.233,189.32718764834598
81.249,187.7671853666827
81.266,186.19265539184815
81.282,184.63475529676813
81.299,183.06420038198448
81.316,181.49926402266547
81.333,179.85998768275127
81.349,178.36388204871557
81.366,176.77415880072934
81.383,175.23169315783227
81.4,173.66740384905265
81.416,172.099992659152
81.432,170.53954108116233
81.449,168.96969114516295
81.466,167.36669022381668
81.482,165.84188787241672
81.499,164.27026675716033
81.516,162.7098176721743
81.533,161.13647628399522
81.549,159.57906408260595
81.566,157.95185183848795
81.582,156.44279392100557
81.599,154.88169266566803
81.616,153.30918571780674
81.632,151.74345548141872
81.649,150.1847777183783
81.666,148.61210075432822
81.682,147.05247363721065
81.699,145.4852533732024
81.716,143.92164032074183
81.732,142.35676566275134
81.749,140.78498970552477
81.766,139.22162404467696
81.783,137.61417316585397
81.802,135.85798803289626
81.816,134.52999704950068
81.832,132.96369135498293
81.849,131.39164953925948
81.866,129.83187797400214
81.882,128.26628708176318
81.899,126.6984152553274
81.916,125.13707575732235
81.932,123.57039489889618
81.949,121.99972823162642
81.967,120.36312456363295
81.982,252.0295587392653
